,ID,Isi_Tweet,Sentimen
0,133343972,fahrelstv gak setuju jokowi capres jokowi harga mati,1
1,921720487,capres jokowi wacapres abraham samad gubernur ahok gua koruptor abissss,1
2,-2120434840,rt rintisbautista capres jokowi wacapres abraham samad gubernur ahok gua koruptor abissss,1
3,-116006035,capres prabowo cawapres jokowi gubdki ahok mantap lanjutkan presiden sby bubarkan fpi,1
4,-906300614,rt franliiiii capres prabowo cawapres jokowi gubdki ahok mantap lanjutkan presiden sby bubarkan fpi,1
5,-1035835265,jd skenarionya gini biar prabowo jd presiden jokowi tetepgubernur kalo jakarta berhasil gak nunggu gantiin prabowo,1
6,-494262702,sby mantan tni calon presiden prabowo subianto mantan krn anggoto tni smw presiden,1
7,-1509470293,mohon presiden prabowo subiyanto tolong jadikan perangkat desa tumbal kebijakan pemerintah,-1
8,776853354,rt sby mantan tni calon presiden prabowo subianto mantan krn anggoto tni sm,1
9,-1288633949,jd meneg bumn dahlan iskan bs ambil bag dlm kep strategis pln jd presiden jokowi bs jg yg sm utk jakarta,1
10,-1802779419,capres jokowi dpd fotocopy ktp dukungan,1
11,-497444784,rt capres jokowi dpd fotocopy ktp dukungan,1
12,41175423,rt danholic logikanya kalo kandidat capres arb wiranto yg maju sosok jokowi ri dr berdua,0
13,-912539188,pagi capres cari tuntaskan,1
14,-2019893968,mohmahfudmd setuju capres jk terpilih tunduk pd rakyat pd dpr partai alrodzi,0
15,-1153608663,rt hehehe bostonmanurung blm petunjuk dr besan capres hatta rajasa strategi republika online ht,-1
16,241874315,rt pokoknya ahok maju capres jokowi beresin jakarta aja partner ahok yg pas ya,1
17,1853366836,p rt provokatrok kl gt presiden jokowi wapres jokowi menteri jokowi gub jokowi aja jokowi blm jg beres,1
18,-2046407671,rt yunartowijaya p rt provokatrok kl gt presiden jokowi wapres jokowi menteri jokowi gub jokowi aja jokowi blm jg b,1
19,783660534,dukung capres jokowi wapresnya ya,1
20,-811562369,allahu akbar kl anugrahriko dream team presiden jokowi wakil abraham samad gubernur dki ahok koruptor pd tobat jd guru ngaji,1
21,1445938205,rt allahu akbar kl anugrahriko dream team presiden jokowi wakil abraham samad gubernur dki ahok koruptor pd,1
22,-1018328211,kompascom prabowo dgn program aksinya bagus sbg presiden jokowi diganggu sbg gubernur dki dki semrawut indonesia hanyut,1
23,216464873,rt bbhesti kompascom prabowo dgn program aksinya bagus sbg presiden jokowi diganggu sbg gubernur dki dki semrawut indon,1
24,-2090873041,tong pilih presiden arb na,1
25,-291798381,prabowo subianto vs joko widodo prabowo subianto presiden jokowi wapres aminin yaaaaa allah,1
26,1008004696,rt maulanasitorus prabowo subianto vs joko widodo prabowo subianto presiden jokowi wapres aminin yaaaaa allah,1
27,1874794257,lho koq rt jokowi presiden suku jawa danieelst herilatief partaisocmed,0
28,1289128093,rt fahrelstv gak setuju jokowi capres jokowi harga mati,1
29,-155510907,dki ahok jateng ganjar jatim khofifah presiden jokowi kombinasi paten cc nongandah,1
30,1255209005,utk indonesia yg lbh rt chamadhojin dki ahok jateng ganjar jatim khofifah presiden jokowi kombinasi paten cc nongandah,1
31,-4420476,jabar rt chamadhojin dki ahok jateng ganjar jatim khofifah presiden jokowi kombinasi paten cc nongandah,1
32,152880825,jokowi presiden suku jawa danieelst herilatief partaisocmed,0
33,471158068,gila ya presiden jokowi gubernur ahok gila ya indonesia beneran,1
34,158698536,rt nickyyuventius gila ya presiden jokowi gubernur ahok gila ya indonesia beneran,1
35,-553452938,kritik uu tenaga kerja yg batasi pesangon thn kerja uu presiden megawati mas kerja,0
36,-1129751017,nickyyuventius gila ya presiden jokowi gubernur ahok gila ya indonesia beneran indonesia,1
37,1431339596,kompascom capres mahfud md wapres pramono ew cocok yg maaf gak cocok,1
38,-1275638864,jokowi butuh dukungan butuh jokowi presiden jokowi rakyat cinta tanah air,1
39,-175283195,pspbeautiful rp presiden jokowi carsen doang bsoknya rp kpop dianya,-1
40,15660197,komposisi udah bagus prabowo sbg presiden jokowi wapres ahok mjd gub dki,1
41,-776252722,rt biarkan sajanokta komposisi udah bagus prabowo sbg presiden jokowi wapres ahok mjd gub dki,-1
42,-1091699282,jelek fallenokta komposisi udah bagus prabowo sbg presiden jokowi wapres ahok mjd gub dki,-1
43,2140842713,rt idoidonajib jelek fallenokta komposisi udah bagus prabowo sbg presiden jokowi wapres ahok mjd gub dki,1
44,1878908111,didoakan presiden hatta rajasa tersenyum jakarta pos kota ketua majelis pertimbangan partai amanat nasional pan amien ra,1
45,212557534,amin rais usul pasangan capres jokowi hatta ditolak ya ya emang gak level mata rakyat,-1
46,2057365148,stkh pas capres ditolak trus amin rais bilang jokowi hrs setia pd sumpah jabatan gub dki utk,-1
47,-156402708,jayusays mantan wakil presiden jusuf kalla,-1
